Privat 21;;Privat 22;;Privat 23;;Privat 24;;Privat 25;;Privat 26;;Privat 27;;
Person;06:45:00;Person;07:26:00;Person;07:45:31;Person;08:51:00;Oaktivitet;08:12:08;Person;07:10:18;Oaktivitet;11:07:10;
;07:08:02;Hem;07:45:56;Div hemma;08:06:18;Oaktivitet;08:56:09;Relationer;08:55:04;Dev;07:32:53;Hem;11:38:11;
Person;12:25:39;Person;08:01:00;Oaktivitet;08:14:00;Relationer;11:00:00;Person;09:00:14;Fokusskift;09:26:54;Oaktivitet;11:50:00;
Fysiskt;12:41:54;Fysiskt;08:07:11;Hem;08:28:13;Div hemma;11:45:00;Oaktivitet;09:11:27;Dev;09:31:00;Hem;12:11:58;
Dev;12:55:13;Oaktivitet;08:13:58;Oaktivitet;08:31:51;Relationer;11:56:00;Hem;09:22:51;Hem;10:06:02;Person;12:31:28;
Div borta;13:34:57;Pers. utv;08:17:29;Div hemma;08:34:12;Oaktivitet;12:06:17;Oaktivitet;09:48:15;Person;11:00:43;Hem;12:45:18;
Dev;15:48:48;Dev;08:18:19;Pers. utv;08:45:40;Hem;12:06:17;Hem;11:10:00;Oaktivitet;11:03:46;Pers. utv;13:42:04;
Oaktivitet;16:22:38;Fysiskt;08:40:50;Person;08:53:09;Oaktivitet;12:12:55;Person;11:36:22;Hem;11:05:46;Hem;13:56:01;
Fysiskt;16:23:16;Oaktivitet;08:44:26;Hem;09:10:00;Person;13:01:08;Hem;11:45:00;Oaktivitet;11:07:39;Relationer;14:01:36;
Person;16:37:21;Dev;08:45:46;Fysiskt;09:18:45;Oaktivitet;13:30:00;Oaktivitet;12:00:50;Person;11:10:00;Hem;14:34:39;
;16:42:46;Fysiskt;08:59:00;Hem;09:19:49;;14:01:30;Dev;12:05:18;Oaktivitet;11:15:30;Musik;15:10:00;
Oaktivitet;18:45:13;;09:10:55;Div hemma;09:26:41;Läsa/titta;14:58:30;Oaktivitet;13:52:42;Hem;11:40:06;Oaktivitet;15:23:11;
Hem;18:58:53;Fysiskt;11:50:26;Hem;09:54:38;Relationer;16:11:31;Fysiskt;13:54:52;Blockerad;12:04:48;Musik;16:15:00;
Oaktivitet;19:15:48;Relationer;11:59:38;Div hemma;10:00:53;Oaktivitet;19:06:53;Oaktivitet;14:07:35;Person;14:54:16;Oaktivitet;16:35:03;
Relationer;19:20:00;Fysiskt;12:39:44;Hem;10:48:48;;08:10:27;Relationer;15:05:14;Blockerad;15:39:14;Musik;16:51:03;
Hus/tomt;19:47:17;;12:43:45;Div hemma;10:50:40;;;Läsa/titta;15:36:20;Hem;15:50:00;Hem;17:16:59;
Hem;19:47:18;Fysiskt;15:59:44;Hem;11:27:58;;;Div hemma;15:51:32;Blockerad;16:00:51;Oaktivitet;17:19:26;
