Privat 30;;Privat 31;;Privat 01;;Privat 02;;Privat 03;;Privat 04;;
Person;08:35:30;Person;06:15:09;Person;12:02:06;Person;08:39:28;Person;07:26:44;Oaktivitet;12:36:53;
Behöver borta;09:37:39;Pers. utv;06:37:44;Oaktivitet;13:22:34;Vill hemma;08:50:57;Dev;07:54:52;Person;12:50:17;
Hem;12:30:30;Dev;06:44:33;Relationer;17:05:00;Person;08:57:07;Person;07:59:11;Fysiskt;14:02:19;
Vill hemma;12:46:40;Vill hemma;06:53:58;Oaktivitet;18:13:33;Dev;09:08:50;Dev;08:10:00;Läsa/titta;15:10:00;
Hem;13:09:05;Dev;06:54:52;Läsa/titta;18:58:51;Person;11:00:47;Person;09:30:00;Avbrott;15:40:32;
Behöver hemma;13:16:15;Pers. utv;07:28:48;Oaktivitet;19:45:26;Relationer;11:17:31;Hem;10:00:00;Läsa/titta;15:48:49;
Oaktivitet;14:23:13;Dev;07:29:55;Läsa/titta;20:22:48;Bil;11:22:00;Blockerad;11:49:35;Hem;18:06:00;
Pers. utv;14:32:54;Fokusskift;07:48:00;Oaktivitet;22:35:09;Relationer;11:23:58;Hem;14:51:45;Relationer;18:32:19;
Oaktivitet;15:31:57;Dev;07:49:58;Person;22:48:00;Oaktivitet;11:53:07;Media;16:22:44;Läsa/titta;20:50:34;
Dev;15:41:47;Person;09:45:08;Läsa/titta;23:33:40;Person;12:01:13;Oaktivitet;17:33:50;Musik;23:00:00;
Oaktivitet;15:52:19;Oaktivitet;09:57:34;Sova;00:05:58;Relationer;12:05:00;Person;17:43:25;Slöläs/titta;00:00:00;
Blockerad;16:07:28;Relationer;10:06:34;;08:38:42;Oaktivitet;12:14:43;Blockerad;17:51:29;Person;01:25:00;
Person;16:27:20;Oaktivitet;10:10:01;;;Blockerad;12:25:03;Vill borta;18:04:20;Pers. utv;01:40:52;
Blockerad;17:17:59;Sova;10:25:00;;;Vill borta;12:40:10;Blockerad;18:35:16;Oaktivitet;01:41:46;
Hem;18:31:44;Oaktivitet;10:40:42;;;Blockerad;15:06:00;Beh. borta;18:37:36;Sova;02:10:09;
Oaktivitet;18:42:21;Läsa/titta;10:56:47;;;Beh. borta;15:15:18;Blockerad;19:17:18;;07:32:47;
Läsa/titta;19:45:00;Oaktivitet;11:03:48;;;Blockerad;15:55:26;Hem;19:33:33;;;
Oaktivitet;20:54:11;Relationer;11:16:41;;;Hem;16:13:56;Oaktivitet;19:46:57;;;
Dev;21:17:05;Person;12:00:00;;;Person;16:22:54;Läsa/titta;19:53:41;;;
Oaktivitet;21:45:11;Oaktivitet;12:15:17;;;Oaktivitet;16:25:24;Oaktivitet;22:30:00;;;
Person;21:45:59;Person;12:17:09;;;Relationer;16:30:00;Person;22:48:14;;;
Oaktivitet;22:07:29;Oaktivitet;12:23:00;;;Sova;16:40:21;Hem;22:58:52;;;
Läsa/titta;22:18:00;Fysiskt;12:35:00;;;Oaktivitet;16:52:21;Vill hemma;23:30:00;;;
Sova;22:48:21;Oaktivitet;13:13:00;;;Spel;16:58:27;Pers. utv;00:02:02;;;
;06:14:59;Vill hemma;13:33:08;;;Relationer;18:33:17;Media;00:45:48;;;
;;Oaktivitet;13:37:41;;;Oaktivitet;19:09:44;Chat;01:25:05;;;
;;Dev;13:50:12;;;Spel;20:00:00;Person;07:27:01;;;
;;Relationer;14:00:00;;;Oaktivitet;21:24:03;Sova;07:32:34;;;
;;Dev;14:23:03;;;Dev;21:41:29;Oaktivitet;12:25:04;;;
;;Relationer;15:16:46;;;Läsa/titta;21:44:44;;12:36:32;;;
;;Musik;15:20:00;;;Oaktivitet;21:57:52;;;;;
;;Oaktivitet;15:42:21;;;Läsa/titta;22:12:00;;;;;
;;Läsa/titta;16:01:07;;;Oaktivitet;22:17:46;;;;;
;;Person;17:13:45;;;Person;22:23:42;;;;;
;;Relationer;17:33:38;;;Oaktivitet;22:28:40;;;;;
;;Hem;19:22:25;;;Dev;22:31:19;;;;;
;;Relationer;19:36:27;;;Spel;22:35:49;;;;;
;;Person;21:23:26;;;Oaktivitet;22:48:47;;;;;
;;Relationer;21:26:53;;;Musik;22:52:11;;;;;
;;Chat;02:00:00;;;Person;23:19:50;;;;;
;;Person;05:43:27;;;Musik;23:29:32;;;;;
;;Sova;06:04:50;;;Sova;23:58:49;;;;;
;;;12:01:19;;;;07:26:32;;;;;
Plats 30;;Plats 31;;Plats 01;;Plats 02;;Plats 03;;Plats 04;;
Hemma;08:35:33;Hemma;06:15:11;Hemma;12:02:09;Hemma;08:39:29;Hemma;07:26:46;H Säng;12:36:55;
Borta;09:37:42;H Köksbord;06:37:00;H Köksbord;12:22:21;H Köksbord;09:08:55;H Köksbord;07:54:56;Hemma;12:50:19;
Hemma;12:30:40;Hemma;06:52:56;H Säng;13:22:31;Hemma;10:21:24;Hemma;07:59:08;H Köksbord;13:10:11;
Bil;14:23:17;H Köksbord;06:54:55;H Soffa;14:00:00;H Köksbord;10:23:03;H Köksbord;08:10:00;Borta;14:02:17;
Hemma;18:31:46;Hemma;07:30:39;Hemma;16:30:00;Hemma;10:35:46;Hemma;09:30:00;Hemma;15:10:00;
H Säng;22:15:00;H Köksbord;07:34:09;Bil;17:05:00;H Köksbord;10:40:00;H Köksbord;09:40:00;H Ute;15:40:37;
;06:15:06;Hemma;07:39:18;Borta;17:20:00;Hemma;11:01:18;Hemma;10:21:13;H Soffa;15:48:46;
;;H Köksbord;07:39:20;Bil;18:16:49;H Köksbord;11:07:11;Bil;11:49:38;Hemma;18:06:00;
;;Hemma;07:49:09;Hemma;18:40:48;Hemma;11:08:00;Hemma;14:51:39;H Soffa;18:36:00;
;;H Köksbord;07:50:00;H Soffa;18:45:49;H Köksbord;11:08:29;Bil;17:51:36;Hemma;01:25:00;
;;Hemma;08:16:53;Hemma;18:56:00;H Ute;11:22:00;Borta;18:04:16;H Säng;01:39:05;
;;H Köksbord;08:19:12;H Soffa;18:58:46;H Köksbord;11:23:55;Bil;18:35:20;;07:32:48;
;;Hemma;08:45:27;Hemma;20:09:13;Hemma;11:51:00;Borta;18:37:32;;;
;;H Köksbord;08:53:54;H Soffa;20:22:45;Bil;12:25:06;Bil;19:17:20;;;
;;Hemma;09:29:00;Hemma;22:35:13;Borta;12:40:06;Hemma;19:33:30;;;
;;H Köksbord;09:31:46;H Säng;23:30:46;H Ute;16:14:03;H Säng;07:31:54;;;
;;Hemma;09:45:00;;08:38:44;Hemma;16:17:02;;12:36:34;;;
;;H Säng;10:00:00;;;H Säng;16:58:31;;;;;
;;Hemma;10:45:00;;;H Köksbord;18:33:23;;;;;
;;H Köksbord;10:56:51;;;H Soffa;19:30:00;;;;;
;;Hemma;11:03:56;;;H Köksbord;21:00:00;;;;;
;;H Köksbord;11:22:25;;;Hemma;22:28:42;;;;;
;;Hemma;11:50:00;;;H Köksbord;22:32:00;;;;;
;;H Köksbord;12:15:20;;;Hemma;23:19:51;;;;;
;;Hemma;12:17:07;;;H Säng;23:24:33;;;;;
;;H Ute;12:40:00;;;;07:26:33;;;;;
;;Hemma;13:10:00;;;;;;;;;
;;H Köksbord;13:24:46;;;;;;;;;
;;H Ute;13:33:15;;;;;;;;;
;;Hemma;13:37:38;;;;;;;;;
;;H Köksbord;13:50:18;;;;;;;;;
;;Hemma;14:00:00;;;;;;;;;
;;H Köksbord;14:22:53;;;;;;;;;
;;H Ute;15:16:49;;;;;;;;;
;;Hemma;15:20:00;;;;;;;;;
;;H Köksbord;15:48:40;;;;;;;;;
;;H Soffa;16:01:05;;;;;;;;;
;;Hemma;17:13:47;;;;;;;;;
;;H Köksbord;17:33:35;;;;;;;;;
;;H Ute;19:22:28;;;;;;;;;
;;Hemma;19:36:29;;;;;;;;;
;;H Köksbord;19:56:02;;;;;;;;;
;;Hemma;21:23:28;;;;;;;;;
;;H Köksbord;21:26:40;;;;;;;;;
;;H Ute;00:02:00;;;;;;;;;
;;H Köksbord;00:13:00;;;;;;;;;
;;Hemma;05:43:33;;;;;;;;;
;;;12:01:25;;;;;;;;;
Middag 31;;;;;;;;;;;;
Mingel;17:20:00;;;;;;;;;;;
Hämta mat;17:23:00;;;;;;;;;;;
Äta;17:33:00;;;;;;;;;;;
Hämta mat;18:07:43;;;;;;;;;;;
Äta;18:13:28;;;;;;;;;;;
Toa;18:44:07;;;;;;;;;;;
Snack;18:48:00;;;;;;;;;;;
;18:55:42;;;;;;;;;;;
Shopping 02;;;;;;;;;;;;
Ditfärd;12:25:08;;;;;;;;;;;
Vandra;12:40:02;;;;;;;;;;;
Affär;12:44:07;;;;;;;;;;;
Kassa;12:49:47;;;;;;;;;;;
Vandra;12:50:49;;;;;;;;;;;
Affär;12:51:31;;;;;;;;;;;
Kassa;12:59:14;;;;;;;;;;;
Vandra;13:00:23;;;;;;;;;;;
Affär;13:01:53;;;;;;;;;;;
Kassa;13:04:06;;;;;;;;;;;
Vandra;13:07:29;;;;;;;;;;;
Affär;13:08:30;;;;;;;;;;;
Kassa;13:21:16;;;;;;;;;;;
Vandra;13:24:47;;;;;;;;;;;
Affär;13:26:36;;;;;;;;;;;
Kassa;13:39:04;;;;;;;;;;;
Vandra;13:44:11;;;;;;;;;;;
Affär;13:48:36;;;;;;;;;;;
Kassa;14:06:24;;;;;;;;;;;
Toa;14:07:10;;;;;;;;;;;
Vandra;14:17:20;;;;;;;;;;;
Föda;14:24:00;;;;;;;;;;;
Vandra;15:01:06;;;;;;;;;;;
Transport;15:06:07;;;;;;;;;;;
Vandra;15:14:01;;;;;;;;;;;
Affär;15:16:27;;;;;;;;;;;
Kassa;15:45:27;;;;;;;;;;;
Vandra;15:47:06;;;;;;;;;;;
Hemfärd;15:55:20;;;;;;;;;;;
;16:14:06;;;;;;;;;;;
